タイトル	年月日	本文タイトル（原本）	巻頭目録タイトル（原本）	本文タイトル（標点本）	巻頭目録タイトル（標点本）	冊	巻	条	画像（開始コマ）	請求記号	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcterms:date	koumin:titleD	koumin:titleB	koumin:titleC	koumin:titleA	bibo:numVolumes	bibo:volume	koumin:jyo	dcterms:identifier	dcndl:callNumber	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	3354
巻1											51e00cad-5338-4568-884d-0c67410c07fd	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/51e00cad-5338-4568-884d-0c67410c07fd	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9a2539f1a513592d14c29389c35ac05a9be98acd.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104376	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/51e00cad-5338-4568-884d-0c67410c07fd/manifest					80
巻2											0f3b3437-9b49-46e2-aa55-1f7c32b78371	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/0f3b3437-9b49-46e2-aa55-1f7c32b78371	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fd04b079ed95b1b9ae50d4b790b541ec7fb594d3.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104377	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0f3b3437-9b49-46e2-aa55-1f7c32b78371/manifest					36
巻3											1cf0b8e8-4801-48e9-953c-7660928c3b7a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/1cf0b8e8-4801-48e9-953c-7660928c3b7a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4cc7eeaa8e205da190b05a5a95babef0d230f3f2.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104378	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1cf0b8e8-4801-48e9-953c-7660928c3b7a/manifest					57
巻4											f0d6821b-8005-4a74-9752-29804bb57ab2	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/f0d6821b-8005-4a74-9752-29804bb57ab2	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7e8c13a36f49b6c2aeb1d2d83cb7f01473c0dd71.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104379	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f0d6821b-8005-4a74-9752-29804bb57ab2/manifest					60
巻5											ef6b3ec4-8252-4aa9-a458-99f89c58f1d8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/ef6b3ec4-8252-4aa9-a458-99f89c58f1d8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/55bec51e8bc3ffc2b95118873fac851d47407158.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104380	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ef6b3ec4-8252-4aa9-a458-99f89c58f1d8/manifest					63
巻6											515f871a-7e54-4889-804d-ee1d91b0d45c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/515f871a-7e54-4889-804d-ee1d91b0d45c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e8aa1f1239ab616f42b79f056563c1ce4fd30f37.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104381	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/515f871a-7e54-4889-804d-ee1d91b0d45c/manifest					67
巻7											02d160c1-a695-4cf5-89bd-954958567f90	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/02d160c1-a695-4cf5-89bd-954958567f90	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ae0312bd9158d66681a43f3d80e1abea8986c8f1.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104382	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/02d160c1-a695-4cf5-89bd-954958567f90/manifest					52
巻8											293c2285-2e3c-4988-9afd-200fc8c04ef4	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/293c2285-2e3c-4988-9afd-200fc8c04ef4	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cee8d18020b7934ec11ea1a847b5b815387c0bae.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104383	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/293c2285-2e3c-4988-9afd-200fc8c04ef4/manifest					66
巻9											50f1b8dd-a4af-4e0d-8e88-795a5d2e2cf8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/50f1b8dd-a4af-4e0d-8e88-795a5d2e2cf8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5a1a1b4986148a5dce25ef320c40ca0bb1d7baa5.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104384	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/50f1b8dd-a4af-4e0d-8e88-795a5d2e2cf8/manifest					45
